,ntsb_no_x,ev_date,ev_city,ev_state,ev_country,ev_year,ev_month,inj_tot_f,inj_tot_m,inj_tot_s,inj_tot_t,dec_latitude,dec_longitude,far_part,damage,acft_make,acft_model,Year,Hours,Accidents
0,NYC94FA082,5/17/1994,SWANTON,OH,USA,1994,5,2,0,0,2,41.580265000000004,-83.890632,91,DEST,MOONEY,M20K,1990.0,"30,763",7.3
1,NYC94FA128,7/16/1994,TREMONT CITY,OH,USA,1994,7,4,0,0,4,40.019462,-83.839935,91,DEST,CESSNA,K172R,1990.0,"30,763",7.3
2,NYC95FA027,11/17/1994,BROADVIEW HTS,OH,USA,1994,11,1,0,0,1,41.299704999999996,-81.610618,91,DEST,CESSNA,195A,1990.0,"30,763",7.3
3,NYC95FA033,11/22/1994,DOYLESTOWN,PA,USA,1994,11,1,0,1,2,40.320198,-75.060546,91,SUBS,PIPER,PA-28-181,1990.0,"30,763",7.3
4,LAX96LA240,6/21/1996,PAGE,AZ,USA,1996,6,1,0,0,1,36.679702,-111.409301,91,DEST,Experimental,MINI MUSTANG,1996.0,"26,909",7.1
5,ANC93FA027,1/18/1993,TELLER,AK,USA,1993,1,1,0,0,1,65.249252,-166.359237,91,DEST,CESSNA,310,1990.0,"30,763",7.3
6,ATL93FA046,1/3/1993,FT. BRAGG,NC,USA,1993,1,2,0,0,2,35.129894,-78.999145,91,DEST,BEECH,A23,1990.0,"30,763",7.3
7,BFO93FA050,1/15/1993,LIGONIER,PA,USA,1993,1,2,0,0,2,40.240848,-79.230987,91,DEST,PIPER,PA-32-300,1990.0,"30,763",7.3
8,FTW93FA072,1/19/1993,DIXIE INN,LA,USA,1993,1,3,0,0,3,32.599540000000005,-93.860778,91,DEST,BEECH,V35B,1990.0,"30,763",7.3
9,DEN93FA032,3/13/1993,ENGLEWOOD,CO,USA,1993,3,2,0,3,5,39.700503999999995,-105.04078600000001,91,SUBS,BEECH,A36,1990.0,"30,763",7.3
10,NYC93FA079,4/10/1993,NORTH BENTON,OH,USA,1993,4,2,0,0,2,41.020648,-80.929214,91,DEST,Aerotek,PITTS S-2B,1990.0,"30,763",7.3
11,SEA93FA091,4/4/1993,GOLD BAR,WA,USA,1993,4,4,0,0,4,47.860820000000004,-121.65998799999998,91,SUBS,LAKE,LA-4-200,1990.0,"30,763",7.3
12,NYC94FA004,10/6/1993,EAST HAMPTON,NY,USA,1993,10,2,0,0,2,40.950973,-72.189842,91,DEST,PIPER,PA-23-250,1990.0,"30,763",7.3
13,ATL92FA040,1/16/1992,COLUMBIA,SC,USA,1992,1,2,0,0,2,33.989276000000004,-81.00064,91,SUBS,CESSNA,140,1990.0,"30,763",7.3
14,ATL92LA034,1/8/1992,MEMPHIS,TN,USA,1992,1,1,0,0,3,35.170921,-89.860809,91,,CESSNA,177B,1990.0,"30,763",7.3
15,CHI92DCJ01,1/5/1992,ASHBY,NE,USA,1992,1,2,0,0,2,42.019816999999996,-101.930824,91,SUBS,PIPER,PA-18-125,1990.0,"30,763",7.3
16,CHI92FA066,1/2/1992,MOSINEE,WI,USA,1992,1,1,0,0,1,44.779926,-89.68003,91,DEST,PIPER,PA-31P,1990.0,"30,763",7.3
17,CHI92FA084,1/31/1992,SWANTON,OH,USA,1992,1,3,0,0,3,41.580677,-83.890464,91,DEST,PIPER,PA-31T,1990.0,"30,763",7.3
18,DEN92FA024,1/4/1992,STEAMBOAT SPGS,CO,USA,1992,1,3,1,4,9,40.469093,-106.820976,91,DEST,CESSNA,421B,1990.0,"30,763",7.3
19,FTW92FA061,1/29/1992,OKLAHOMA CITY,OK,USA,1992,1,1,0,2,3,35.520465,-97.44097099999999,91,SUBS,BELLANCA,17-30,1990.0,"30,763",7.3
20,FTW92FA064,2/1/1992,BARTLESVILLE,OK,USA,1992,2,2,0,0,2,36.729972,-96.069641,91,DEST,CESSNA,182,1990.0,"30,763",7.3
21,FTW92LA054,1/4/1992,SAN MARCOS,TX,USA,1992,1,2,0,0,2,29.880005999999998,-97.91935699999999,91,DEST,ALVIN D. CAMPBELL,KR-2,1990.0,"30,763",7.3
